idx,平台,昵称,频道链接,地区,粉丝数,是否游戏,类目,置信度,AI 判断理由,阶段
1875,Youtube,The_Viper_UA,https://www.youtube.com/@TheViperUA,乌克兰,5130,是,FPS,高,World of Tanks content; tank FPS gameplay.,A
1872,Youtube,SKIFler,https://www.youtube.com/@SKIFler_WOT,乌克兰,4270,是,FPS,高,World of Tanks content creator.,A
1866,Youtube,__X__,https://www.youtube.com/@XWorldofTanksBestbatles,乌克兰,3710,是,FPS,高,World of Tanks best battles; tank FPS gameplay.,A
1879,Youtube,PWN-G | WoT Replays,https://www.youtube.com/@PWN-G,乌克兰,1190,是,FPS,高,World of Tanks replays; tank FPS content.,A
1878,Youtube,1Loxxy,https://www.youtube.com/@1Loxxxy,乌克兰,1140,是,MOBA,高,Dota 2 clips and content explicitly mentioned in About.,B-recovered
1873,Youtube,The Best Replays World of Tanks,https://www.youtube.com/@TheBestReplaysWorldofTanks,乌克兰,733,是,FPS,高,World of Tanks replay channel; tank FPS.,A
1867,Youtube,Serenity Game Sphere,https://www.youtube.com/@SerenityGameSphere,乌克兰,513,是,RPG,高,"Explores Skyrim, Hogwarts Legacy, Witcher peaceful gameplay worlds.",B-recovered
1690,Youtube,"Harrison, the Mana Dork",https://www.youtube.com/@HarrisontheManaDork,加拿大,7750,是,MOBA,高,Mana Dork indicates Magic/card game esports,A
1817,Youtube,Retro Rivals,https://www.youtube.com/@RetroRivals,加拿大,7550,是,Retro,高,Retro Rivals clearly indicates classic/retro gaming.,A
1712,Youtube,FPSProdigy,https://www.youtube.com/@FPSProdigyYT,加拿大,6240,是,FPS,高,FPS Prodigy explicitly indicates first-person shooter focus.,A
1824,Youtube,GiraffeCorner Gacha,https://www.youtube.com/@GiraffeCorner,加拿大,6050,是,手游/二次元,高,Gacha gaming channel; anime-style mobile games.,A
1816,Youtube,GmanPlayzMobile,https://www.youtube.com/@GmanplayzGotcha,加拿大,5370,是,手游,高,Mobile gaming focus; gacha game content indicated.,A
1689,Youtube,Action - Clash Royale,https://www.youtube.com/@action_cr,加拿大,3750,是,手游,高,Clash Royale mobile game content,A
1795,Youtube,SHAUNNEX PLAYZ,https://www.youtube.com/@SHAUNNEXPLAYZ,加拿大,3240,是,Casual,高,PLAYZ explicitly indicates gaming content.,A
1775,Youtube,Chill Out Esports,https://www.youtube.com/@ChillOutEsports,加拿大,2930,是,Esports,高,Chill Out Esports explicitly indicates esports focus.,A
1791,Youtube,Goldie’s Gaming,https://www.youtube.com/@GoldiesGaming,加拿大,2930,是,Casual,高,Goldie's Gaming explicitly indicates gaming content.,A
1753,Youtube,FlightSim Gaming,https://www.youtube.com/@Flightsim-Gaming,加拿大,1550,是,Simulation,高,FlightSim Gaming explicitly indicates flight simulation focus.,A
1796,Youtube,The Masri Arcade,https://www.youtube.com/@Mrlostmoniker,加拿大,933,是,Retro,高,Masri Arcade explicitly indicates arcade/retro gaming.,A
1860,Youtube,Raiya瑞亞,https://www.youtube.com/@Raiya1107,台湾,2180,是,FPS,高,CS2 streamer explicitly mentioned in About page.,B-recovered
2240,Youtube,Tabahi Plays ,https://www.youtube.com/@Tabahi_Plays,巴基斯坦,6080,是,Casual,高,Tabahi Plays explicitly gaming channel.,A
2242,Youtube,Mustajab Gaming,https://www.youtube.com/@Mustajabgaming2354,巴基斯坦,5180,是,Casual,高,Mustajab Gaming explicitly gaming channel.,A
2355,Youtube,Subway Surfers With Ibrahim,https://www.youtube.com/@Subwaysurfers198,巴基斯坦,3610,是,Casual,高,Subway Surfers is casual mobile game.,A
2425,Youtube,Hacker In GTA,https://www.youtube.com/@HackerinGta,巴基斯坦,2810,是,FPS,高,GTA hacking/gameplay channel.,A
2243,Youtube,Games Geek,https://www.youtube.com/@GamesGeek,巴基斯坦,1810,是,Casual,高,Games Geek explicitly gaming channel.,A
2479,Youtube,Anime Story Explain,https://www.youtube.com/@Animestoryexplain,巴基斯坦,1810,是,二次元,高,"Anime story explain, anime-focused content.",A
2376,Youtube,Awarah Clashers,https://www.youtube.com/@AwarahClashersTeam,巴基斯坦,1560,是,手游,高,Clash Royale is mobile-first competitive game.,A
2436,Youtube,Android Gaming,https://www.youtube.com/@AndroidGamingC,巴基斯坦,1560,是,手游,高,"Android gaming channel, mobile-first.",A
2345,Youtube,peslover143,https://www.youtube.com/@peslover143,巴基斯坦,1070,是,Simulation,高,PES (Pro Evolution Soccer) football simulation game.,A
2317,Youtube,Aziz tech ,https://www.youtube.com/@AzizPUBG1212,巴基斯坦,950,是,手游,高,"Handle contains PUBG, mobile battle royale game.",A
2407,Youtube,RAJA X PUBG,https://www.youtube.com/@userRAJAXPUBG11,巴基斯坦,856,是,手游,高,PUBG mobile gaming channel.,A
2474,Youtube,Dhuli FF 10K,https://www.youtube.com/@DhuliFF10K,巴基斯坦,646,是,手游,高,FF indicates Free Fire mobile game.,A
2248,Youtube,Ameeree Gaming,https://www.youtube.com/@AmeereeGaming1734,巴基斯坦,606,是,Casual,高,Ameeree Gaming explicitly gaming channel.,A
2515,Youtube,MR. PZ FF,https://www.youtube.com/@MR_PZ_FF-110,巴基斯坦,559,是,FPS,高,"FF likely Free Fire, a mobile FPS game.",A
1,Youtube,NintendoGalaxy,https://www.youtube.com/@NintendoGalaxy,德国,9000,是,Retro,高,NintendoGalaxy explicitly references Nintendo retro gaming.,A
21,Youtube,pnda,https://www.youtube.com/@pndaa1,德国,8080,是,Simulation,高,"Explicitly states 'Rust Degen', focuses on Rust survival game content.",B-recovered
89,Youtube,ChoppZ,https://www.youtube.com/@ChoppZCS,德国,6180,是,FPS,高,ChoppZ CS likely Counter-Strike competitive player,A
27,Youtube,upper_case_T,https://www.youtube.com/@upper_case_T,德国,3670,是,RPG,高,"Videos mention Silksong and Armored Core 6, gaming content creator.",B-recovered
56,Youtube,FNBUDDY,https://www.youtube.com/@fnbuddyYT,德国,3060,是,FPS,高,FNBUDDY likely Fortnite buddy content,A
11,Youtube,CS2 Cheater Reports,https://www.youtube.com/@CS2CheaterReports,德国,2490,是,Esports,高,CS2 Cheater Reports focuses on Counter-Strike 2 competitive coverage.,A
75,Youtube,Ecchi PlayZ,https://www.youtube.com/@ecchiplayz,德国,1610,是,二次元,高,Ecchi PlayZ indicates anime-style game content,A
18,Youtube,HardstuckTV,https://www.youtube.com/@HardstuckTV,德国,994,是,Esports,高,HardstuckTV indicates League of Legends esports analysis/coverage.,A
30,Youtube,LWATARY,https://www.youtube.com/@lwatary,德国,953,是,手游,高,"Explicitly focuses on Android game news, graphics, and reviews.",B-recovered
22,Youtube,BGMI LEV,https://www.youtube.com/@LEVshorts,德国,908,是,手游,高,BGMI LEV focuses on Battlegrounds Mobile India mobile gaming.,A
4,Youtube,KARALI RETRO,https://www.youtube.com/@KaraliRetro,德国,737,是,Retro,高,KARALI RETRO explicitly focuses on retro gaming.,A
7,Youtube,Gametism,https://www.youtube.com/@Gametism,德国,682,是,RPG/Simulation,高,"Showcases Nioh, Elden Ring, Bloodborne, GTA V, Horizon gameplay edits.",B-recovered
215,Youtube,Hand Held Legend,https://www.youtube.com/@HandHeldLegend,美国,9970,是,Retro,高,Hand Held Legend clearly indicates retro handheld gaming.,A
271,Youtube,LoL Dobby多比,https://www.youtube.com/@LoLDobby-zh,美国,9930,是,MOBA,高,LoL Dobby explicitly references League of Legends.,A
1257,Youtube,Avi Akbar Gaming,https://www.youtube.com/@AviAkbarGaming,美国,9490,是,Casual,高,Explicit 'Gaming' in name indicates gaming focus.,A
821,Youtube,CalmBee,https://www.youtube.com/@CalmBee,美国,9210,是,Casual,高,CalmBee indicates relaxing casual gaming focus.,A
1518,Youtube,Ludwig Clips,https://www.youtube.com/@Ludclips,美国,9180,是,Esports,高,Ludwig is major esports/gaming streamer; clips channel.,A
126,Youtube,Andy's Vr Reviews,https://www.youtube.com/@AndysVrReviews,美国,9170,是,Simulation,高,VR reviews suggest simulation/VR gaming content.,A
598,Youtube,RetroNate,https://www.youtube.com/@retronate,美国,9060,是,Retro,高,RetroNate clearly indicates retro gaming focus.,A
1299,Youtube,iAndroid Gaming,https://www.youtube.com/@iAndroidGamingYT,美国,8590,是,手游,高,'iAndroid Gaming' indicates mobile gaming focus.,A
435,Youtube,Q2C - VR  GAMER,https://www.youtube.com/@Q2CVRGAMER,美国,8430,是,FPS,高,"VR gamer indicates gaming, likely FPS-oriented.",A
977,Youtube,Reel Twinning Slots,https://www.youtube.com/@ReelTwinningSlots,美国,8410,是,Casual,高,"Slots content, gambling/casual game category",A
1255,Youtube,Joker Gaming,https://www.youtube.com/@jokergaminglive,美国,8370,是,Casual,高,"'Joker Gaming' indicates gaming channel, likely casual/variety.",A
449,Youtube,Nalyo Gaming,https://www.youtube.com/@NalyoGaming,美国,8120,是,FPS,高,Gaming handle with Nalyo suggests FPS gaming content.,A
1287,Youtube,Loggy Gaming Corp,https://www.youtube.com/@LoggyGamingCorp,美国,8040,是,Casual,高,Explicit 'Gaming' in name indicates gaming focus.,A
1061,Youtube,fanof,https://www.youtube.com/@Fanof_OSRS,美国,7870,是,MOBA,高,OSRS (Old School RuneScape) is MOBA-adjacent RPG,A
734,Youtube,MintendoGaming,https://www.youtube.com/@mintendogaming,美国,7700,是,Retro,高,MintendoGaming clearly references Nintendo retro gaming.,A
253,Youtube,Brainiac Trivia Games,https://www.youtube.com/@BrainiacTriviaGames,美国,7510,是,Casual,高,Trivia games are casual puzzle category.,A
838,Youtube,Ash's Cozy Corner,https://www.youtube.com/@ashscozycorner,美国,7510,是,Casual,高,Ash's cozy corner explicitly indicates casual cozy gaming.,A
668,Youtube,Never Bored Gaming,https://www.youtube.com/@NeverBoredGaming,美国,7460,是,Casual,高,Gaming in name; likely casual gaming focus.,A
747,Youtube,NYL Casual Gaming,https://www.youtube.com/@NYLCasualGaming,美国,7350,是,Casual,高,NYL Casual Gaming explicitly indicates casual gaming focus.,A
1368,Youtube,PUNISHER Wot Funny moments,https://www.youtube.com/@PUNISHERSwot,美国,7010,是,Simulation,高,WoT (World of Tanks) funny moments content.,A
1052,Youtube,Arcade Hunters,https://www.youtube.com/@ArcadeHunters,美国,6960,是,Retro,高,Arcade Hunters clearly focuses on retro arcade games,A
843,Youtube,SeeingStarsDenise,https://www.youtube.com/@SeeingStarsGaming,美国,6690,是,RPG/Casual,高,"Plays cozy games and RPGs, clear gaming passion project.",B-recovered
1370,Youtube,Breaking Point VALORANT,https://www.youtube.com/@BPValorant,美国,6680,是,FPS,高,Breaking Point VALORANT explicitly indicates FPS esports.,A
972,Youtube,lol addicts,https://www.youtube.com/@LOLADDICTS95,美国,6610,是,MOBA,高,LOL Addicts explicitly references League of Legends,A
805,Youtube,CozyGameNight,https://www.youtube.com/@CozyGameNight,美国,6300,是,Casual,高,Cozy game night explicitly indicates casual gaming focus.,A
908,Youtube,Kitsune Anime,https://www.youtube.com/@KitsuneAnimeYT,美国,6200,是,二次元,高,Kitsune Anime directly indicates anime-style game content.,A
1278,Youtube,Tynology Gaming,https://www.youtube.com/@TynologyGaming,美国,6140,是,Casual,高,Explicit 'Gaming' in name indicates gaming channel.,A
1159,Youtube,Final FanTV,https://www.youtube.com/@FinalFanTV,美国,6120,是,RPG,高,Final Fantasy reference in name indicates RPG focus.,A
